"Branch","Hash","Date","Subject","Base","Files","Added","Deleted","Net","NewFiles","RuntimeFiles","TestFiles","DocFiles","GovernanceFiles","CausalFiles","ChangeTotal","Churn","SemanticImpact","ArchitecturalShift","EntropyDelta","StabilizationPressure","CausalityDepth","GovernanceDensity","RefactorSeverity","DeltaHours","QualityIndex","SustainableVelocity"
"origin/V.0.1_alfa1","d17cc3357ac875ed418b7d0ed89e74ce856d2c48","2026-03-15T22:08:03+07:00","feat: first working game loop — baseline","d17cc3357ac875ed418b7d0ed89e74ce856d2c48~1","16","3198","544","2654","2","5","0","1","0","0","3742","1,41","53","2","72,73","16","0","0","14,5","","22,20",""
"origin/V.0.2_alfa1","a5600a6dec68b3ce80cd2beeb33a4c974222f5bb","2026-03-18T22:45:18+07:00","V.0.2_alfa1: Update to latest codebase - new ROADMAP_v4.1.md, agents/services (action_classifier, error_logger, routes_stream, game services), cleanup PDFs/old TODOs/assets, frontend/UI updates, logs, restart_all.bat","d17cc3357ac875ed418b7d0ed89e74ce856d2c48","42","4419","153610","-149191","11","16","0","2","0","1","158029","1,06","97","22","-100","4","2,4","0","97,2","72,62","38,20","0,53"
"origin/V.0.3A_alfa1","4a1462872a0e357b53e5a3df012cc7bd61f87a62","2026-03-19T20:36:19+07:00","V.0.3A_alfa1: Phase 3A NPC Core Psychology implementation - npc/ engines (cognition, psyche, threat, perception), major_npcs.json, mass_npc_templates.json, orchestrator integration, PHASE_3A_GUIDE.md, tests, cleanup","a5600a6dec68b3ce80cd2beeb33a4c974222f5bb","23","3157","91","3066","13","9","2","0","0","1","3248","1,06","65","15","65,04","13","4,3","0","2,8","21,85","29,30","1,34"
"origin/V.0.4A_alfa2","e42924269711128e956c24d243916b9f6cb5eb2f","2026-03-22T16:38:50+07:00","V.0.4A_alfa2: Latest project updates including scene management, life engine, new tests, Gemma support, roadmaps v5","4a1462872a0e357b53e5a3df012cc7bd61f87a62","40","8260","1647","6613","14","17","1","1","0","1","9907","1,5","86","25","74,1","4","2,5","0","16,6","68,04","35,95","0,53"
"origin/V.0.4.2","1108b07011346f073b24ff28bcb8cfc145301ba6","2026-03-22T20:34:26+07:00","V.0.4.2: Full current project state - code updates, data/logs, cleanup deletes","e42924269711128e956c24d243916b9f6cb5eb2f","17","1015","2086","-1071","2","5","0","2","0","1","3101","2,9","54","5","-34,8","18","5,9","0","67,3","3,93","24,25","6,17"
"origin/V.0.4.3","d756ee25498dd8dd561ac28dd3b7a1bace5beb73","2026-03-28T23:08:50+07:00","V.0.4.3: Full local backup with recent changes (agents, services, data, logs, TODO1.md, roadmaps)","1108b07011346f073b24ff28bcb8cfc145301ba6","67","5513","6312","-799","30","26","0","1","0","3","11825","14,8","100","42","0,22","0","4,5","0","53,4","146,57","44,70","0,30"
"origin/V.0.4.4.1","ce7223434da40202d83c2eb7d65bf46f3cb0fca0","2026-04-02T22:14:55+07:00","Save current full project state to V.0.4.4 branch: include all modifications, new memory/scene services, data updates, tests, frontend changes, docs (Игра.md, Логи.md), deletions of old logs/memory files","d756ee25498dd8dd561ac28dd3b7a1bace5beb73","69","7770","2408","5362","16","26","7","1","0","2","10178","1,9","100","27","43,79","13","2,9","0","23,7","119,1","44,00","0,37"
"origin/V.0.5.0.1","779571710d0e89707548f921418fb1dfd7389ea9","2026-04-04T22:01:24+07:00","V.0.5.0.1: Full local project backup - all current modifications (Before.md, Now.md, README.md, backend services/memory/NPC/action updates: player_target_extractor.py, processor.py, llama_cpp_provider.py, provider_manager.py, router.py, contradiction_resolver.py, importance_engine.py, memory_manager.py, relationship_store.py, working_memory.py, model_router.py, psyche_engine.py, prompt_loader.py), new files (npc/decision_hub.py, npc_state.py, state_applicator.py, Индекс файлов.md, Предложения.md)","ce7223434da40202d83c2eb7d65bf46f3cb0fca0","25","2588","1621","967","6","19","0","1","0","0","4209","4,35","81","16","21,73","2","0","0","38,5","47,77","30,60","0,64"
"origin/V.0.5.0.2","f27371620eaa749ae51814b3d059e6a5967dfefa","2026-04-07T02:28:52+07:00","Save current full project state before creating V.0.5.0.2 branch","779571710d0e89707548f921418fb1dfd7389ea9","60","10893","2327","8566","37","17","14","0","0","3","13220","1,54","100","49","71,19","32","5","0","17,6","52,46","58,35","1,11"
"origin/V.0.5.0.3","49058eef23d9f65089ac623c783ed35afa2711fb","2026-04-07T23:04:51+07:00","Add Stec_arch.md mapping architecture layers to key files","f27371620eaa749ae51814b3d059e6a5967dfefa","10","951","36","915","6","5","3","0","0","1","987","1,08","52","10","48,08","22","10","0","3,6","20,6","26,80","1,30"
